ASIN,Current_Price,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Recommendation
B00QOOZ4DE,37.24,38.52,39.79,41.07,42.35,43.62,44.9,46.18,52.14,52.14,52.14,52.14,52.14,52.14,52.14,BUY
B00QOQU95K,21.84,22.59,23.34,24.09,24.84,25.58,26.33,27.08,30.58,30.58,30.58,30.58,30.58,30.58,30.58,BUY
B00SFSU53G,39.98,41.35,42.72,44.09,45.46,46.83,48.2,49.58,55.97,55.97,55.97,55.97,55.97,55.97,55.97,BUY
B00VBUGPW0,30.99,30.48,29.97,29.46,28.95,28.44,27.93,27.42,19.98,21.36,22.74,24.12,25.5,26.88,28.27,BUY
B01018DC96,6.69,6.92,7.15,7.38,7.61,7.84,8.07,8.3,9.37,9.37,9.37,9.37,9.37,9.37,9.37,BUY
B010OYASRG,25.99,26.88,27.77,28.66,29.55,30.45,31.34,32.23,36.39,36.39,36.39,36.39,36.39,36.39,36.39,BUY
B01156N5QI,8.63,8.93,9.22,9.52,9.81,10.11,10.41,10.7,12.08,12.08,12.08,12.08,12.08,12.08,12.08,BUY
B015PK4IAW,59.99,58.79,59.39,56.99,55.19,55.79,53.39,50.99,51.59,49.19,46.79,47.39,45.59,44.39,44.99,WAIT
B015WBVKN2,16.99,17.49,17.99,18.48,18.98,19.48,19.98,20.48,21.26,21.68,22.1,22.52,22.94,23.36,23.79,BUY
B016P0BVH4,14.99,15.5,16.01,16.53,17.04,17.55,18.06,18.58,20.98,20.98,20.97,20.97,20.97,20.96,20.96,BUY
B0170RBJ9Q,14.95,14.65,14.80,14.20,13.75,13.90,13.31,12.71,12.86,12.26,11.66,11.81,11.36,11.06,11.21,WAIT
B017JS6PD6,52.95,54.77,56.58,58.4,60.21,62.03,63.84,65.66,74.13,74.13,74.13,74.13,74.13,74.13,74.13,BUY
B019Y7VLUM,93.49,92.14,90.8,89.45,88.11,86.76,85.42,84.07,60.74,65.39,70.05,74.7,79.35,84.0,88.65,WAIT
B019Z81V3M,9.99,10.33,10.68,11.02,11.36,11.7,12.05,12.39,13.99,13.99,13.99,13.99,13.99,13.99,13.99,BUY
B01AQ6OWAG,8.49,8.33,8.16,8.0,7.84,7.68,7.51,7.35,6.59,6.59,6.59,6.59,6.59,6.59,6.59,WAIT
B01CG8N0H8,31.79,31.15,31.47,30.20,29.25,29.56,28.29,27.02,27.34,26.07,24.80,25.11,24.16,23.52,23.84,WAIT
B01D5H8JW0,7.55,7.81,8.07,8.33,8.59,8.84,9.1,9.36,10.57,10.57,10.57,10.57,10.57,10.57,10.57,BUY
B01D5H8P0G,6.76,6.91,7.06,7.21,7.36,7.51,7.65,7.8,9.26,9.05,8.84,8.64,8.43,8.22,8.02,BUY
B01FHNBKYO,39.99,41.36,42.73,44.1,45.47,46.85,48.22,49.59,55.99,55.99,55.99,55.99,55.99,55.99,55.99,BUY
B01HGM33HG,49.01,50.69,52.37,54.05,55.73,57.41,59.09,60.77,68.61,68.61,68.61,68.61,68.61,68.61,68.61,BUY
B01J4KU2UO,14.08,14.56,15.05,15.53,16.01,16.49,16.98,17.46,19.71,19.71,19.71,19.71,19.71,19.71,19.71,BUY
B01J6XXR38,46.71,47.62,48.54,49.45,50.36,51.28,52.19,53.1,57.36,57.36,57.36,57.36,57.36,57.36,57.36,BUY
B01JB7ZU5M,8.99,9.3,9.61,9.91,10.22,10.53,10.84,11.15,12.59,12.59,12.59,12.59,12.59,12.59,12.59,BUY
B01JRNIWJG,27.99,27.43,27.71,26.59,25.75,26.03,24.91,23.79,24.07,22.95,21.83,22.11,21.27,20.71,20.99,WAIT
B01KBEOL5E,25.19,26.05,26.92,27.78,28.64,29.51,30.37,31.24,35.27,35.27,35.27,35.27,35.27,35.27,35.27,BUY
B01LW8V8CD,107.48,105.33,106.41,102.11,98.88,99.96,95.66,91.36,92.43,88.13,83.83,84.91,81.68,79.54,80.61,WAIT
B01MFCFKG5,19.92,20.6,21.29,21.97,22.65,23.33,24.02,24.7,27.89,27.89,27.89,27.89,27.89,27.89,27.89,BUY
B01MT1T425,15.97,16.31,16.66,17.0,17.34,17.69,18.03,18.37,21.85,21.34,20.83,20.32,19.81,19.3,18.79,BUY
B01MTB55WH,27.89,28.85,29.8,30.76,31.71,32.67,33.63,34.58,39.05,39.05,39.05,39.05,39.05,39.05,39.05,BUY
B01N0782B3,27.9,28.85,29.81,30.76,31.71,32.67,33.62,34.58,39.05,39.05,39.04,39.03,39.02,39.02,39.01,BUY
B06XFTWCBJ,63.26,61.87,60.47,59.08,57.69,56.29,54.9,53.51,47.01,47.01,47.01,47.01,47.01,47.01,47.01,WAIT
B06XKPQ6YZ,50.24,49.24,49.74,47.73,46.22,46.72,44.71,42.70,43.21,41.20,39.19,39.69,38.18,37.18,37.68,WAIT
B06XVZ6Y4T,28.01,28.68,29.35,30.03,30.7,31.37,32.04,32.71,30.56,32.0,33.44,34.89,36.33,37.77,39.21,BUY
B06Y4FJD33,14.99,15.5,16.02,16.53,17.05,17.56,18.07,18.59,20.99,20.99,20.99,20.99,20.99,20.99,20.99,BUY
B071DGMNMX,8.99,9.26,9.52,9.79,10.05,10.32,10.58,10.85,11.29,11.51,11.72,11.94,12.15,12.37,12.59,BUY
B071J1BPHW,63.95,62.46,60.96,59.47,57.98,56.49,54.99,53.5,46.53,46.53,46.53,46.53,46.53,46.53,46.53,WAIT
B071S84ZW7,199.99,196.66,193.34,190.01,186.68,183.36,180.03,176.71,161.18,161.18,161.18,161.18,161.18,161.18,161.18,WAIT
B072LNKHBB,6.99,7.23,7.47,7.71,7.95,8.19,8.43,8.67,9.79,9.79,9.79,9.79,9.79,9.79,9.79,BUY
B072WC1MXT,14.58,15.08,15.58,16.08,16.58,17.08,17.58,18.08,20.41,20.41,20.41,20.41,20.41,20.41,20.41,BUY
B0732MD43P,15.89,16.43,16.98,17.52,18.07,18.61,19.16,19.7,22.25,22.25,22.25,22.25,22.25,22.25,22.25,BUY
B0734S1YBS,19.99,20.68,21.36,22.05,22.73,23.42,24.1,24.79,27.99,27.99,27.99,27.99,27.99,27.99,27.99,BUY
B073QNVQK5,23.17,23.96,24.76,25.55,26.35,27.14,27.94,28.73,32.44,32.44,32.44,32.44,32.44,32.44,32.44,BUY
B073QX1ZMS,114.99,112.69,113.84,109.24,105.79,106.94,102.34,97.74,98.89,94.29,89.69,90.84,87.39,85.09,86.24,WAIT
B07431YDWM,7.99,8.26,8.54,8.81,9.09,9.36,9.63,9.91,11.19,11.19,11.19,11.19,11.19,11.19,11.19,BUY
B074CFGG8G,9.95,10.29,10.63,10.97,11.31,11.66,12.0,12.34,13.93,13.93,13.93,13.93,13.93,13.93,13.93,BUY
B0758CVS43,62.4,64.54,66.68,68.82,70.96,73.1,75.24,77.38,87.36,87.36,87.36,87.36,87.36,87.36,87.36,BUY
B075F6TB7F,6.99,7.23,7.47,7.71,7.95,8.19,8.43,8.67,9.79,9.79,9.79,9.79,9.79,9.79,9.79,BUY
B075LT8YLR,16.99,17.57,18.16,18.74,19.32,19.9,20.49,21.07,23.79,23.79,23.79,23.79,23.79,23.79,23.79,BUY
B0787W458R,20.69,20.28,20.48,19.66,19.03,19.24,18.41,17.59,17.79,16.97,16.14,16.35,15.72,15.31,15.52,WAIT
B0787WGCXT,179.99,175.33,170.67,166.01,161.35,156.68,152.02,147.36,132.6,130.69,128.79,126.88,124.97,123.07,121.16,WAIT
B07889DGLD,19.47,20.14,20.81,21.47,22.14,22.81,23.48,24.14,27.26,27.26,27.26,27.26,27.26,27.26,27.26,BUY
B078MBL6KM,21.98,22.73,23.49,24.24,24.99,25.75,26.5,27.26,30.77,30.77,30.77,30.77,30.77,30.77,30.77,BUY
B078XR8C15,24.64,24.15,24.39,23.41,22.67,22.92,21.93,20.94,21.19,20.20,19.22,19.47,18.73,18.23,18.48,WAIT
B0797LMJF5,16.94,17.52,18.1,18.68,19.26,19.84,20.42,21.01,23.72,23.72,23.72,23.72,23.72,23.72,23.72,BUY
B0797MY6JB,99.99,97.99,98.99,94.99,91.99,92.99,88.99,84.99,85.99,81.99,77.99,78.99,75.99,73.99,74.99,WAIT
B07BB5FDS2,64.99,67.22,69.45,71.67,73.9,76.13,78.36,80.59,90.99,90.99,90.99,90.99,90.99,90.99,90.99,BUY
B07BB8LSM1,9.39,9.71,10.03,10.36,10.68,11.0,11.32,11.64,13.15,13.15,13.15,13.15,13.15,13.15,13.15,BUY
B07BDQQVN2,27.29,28.23,29.16,30.1,31.03,31.97,32.9,33.84,38.21,38.21,38.21,38.21,38.21,38.21,38.21,BUY
B07C2Z21X5,579.0,567.42,573.21,550.05,532.68,538.47,515.31,492.15,497.94,474.78,451.62,457.41,440.04,428.46,434.25,WAIT
B07D8M5DML,6.92,7.16,7.39,7.63,7.87,8.11,8.34,8.58,9.69,9.69,9.69,9.69,9.69,9.69,9.69,BUY
B07FTHL5PF,15.56,16.09,16.63,17.16,17.69,18.23,18.76,19.29,21.78,21.78,21.78,21.78,21.78,21.78,21.78,BUY
B07FYXRH99,34.97,36.17,37.37,38.57,39.77,40.96,42.16,43.36,48.96,48.96,48.96,48.96,48.96,48.96,48.96,BUY
B07G95FFN3,39.97,41.03,42.1,43.16,44.22,45.28,46.35,47.41,46.73,48.27,49.8,51.34,52.88,54.42,55.96,BUY
B07H9RYVZ4,56.54,58.46,60.39,62.31,64.24,66.16,68.08,70.01,78.72,78.8,78.87,78.94,79.01,79.08,79.16,BUY
B07HB8V9LQ,31.99,33.09,34.18,35.28,36.38,37.47,38.57,39.67,44.79,44.79,44.79,44.79,44.79,44.79,44.79,BUY
B07HH1QSLB,8.65,8.87,9.1,9.32,9.54,9.77,9.99,10.21,9.91,10.28,10.64,11.01,11.38,11.74,12.11,BUY
B07HKQ6YGX,99.95,97.95,98.95,94.95,91.95,92.95,88.96,84.96,85.96,81.96,77.96,78.96,75.96,73.96,74.96,WAIT
B07J4WHNFC,10.99,11.37,11.74,12.12,12.5,12.87,13.25,13.63,15.39,15.39,15.39,15.39,15.39,15.39,15.39,BUY
B07K1L5N7H,36.65,35.92,36.28,34.82,33.72,34.08,32.62,31.15,31.52,30.05,28.59,28.95,27.85,27.12,27.49,WAIT
B07K5214NZ,18.99,19.64,20.29,20.94,21.59,22.25,22.9,23.55,26.59,26.59,26.59,26.59,26.59,26.59,26.59,BUY
B07KFDS3PT,30.43,30.88,31.32,31.77,32.22,32.66,33.11,33.56,41.11,39.62,38.13,36.64,35.14,33.65,32.16,BUY
B07KXSR99Y,77.97,76.29,74.6,72.92,71.23,69.55,67.86,66.18,49.25,51.73,54.2,56.67,59.14,61.61,64.09,WAIT
B07MTRQ6B3,87.97,90.99,94.0,97.02,100.03,103.05,106.07,109.08,123.16,123.16,123.16,123.16,123.16,123.16,123.16,BUY
B07N3WYLKZ,59.99,62.05,64.1,66.16,68.22,70.27,72.33,74.39,83.99,83.99,83.99,83.99,83.99,83.99,83.99,BUY
B07N5MG9LP,109.99,107.79,108.89,104.49,101.19,102.29,97.89,93.49,94.59,90.19,85.79,86.89,83.59,81.39,82.49,WAIT
B07NFTCZZS,113.97,111.69,112.83,108.27,104.85,105.99,101.43,96.87,98.01,93.46,88.90,90.04,86.62,84.34,85.48,WAIT
B07NWB8H5S,35.01,36.21,37.41,38.61,39.81,41.01,42.21,43.41,49.01,49.01,49.01,49.01,49.01,49.01,49.01,BUY
B07PXGQC1Q,134.62,131.93,133.27,127.89,123.85,125.20,119.81,114.43,115.77,110.39,105.00,106.35,102.31,99.62,100.97,WAIT
B07Q1GHB5X,24.95,25.81,26.66,27.52,28.37,29.23,30.08,30.94,34.93,34.93,34.93,34.93,34.93,34.93,34.93,BUY
B07Q7DM9HP,10.6,10.74,10.88,11.01,11.15,11.29,11.43,11.56,14.28,13.71,13.15,12.58,12.02,11.45,10.89,BUY
B07Q8WH9TX,37.9,39.2,40.5,41.8,43.1,44.4,45.7,47.0,53.06,53.06,53.06,53.06,53.06,53.06,53.06,BUY
B07QGXSFKQ,99.95,97.95,98.95,94.95,91.95,92.95,88.96,84.96,85.96,81.96,77.96,78.96,75.96,73.96,74.96,WAIT
B07RZXSJBM,14.82,15.33,15.84,16.34,16.85,17.36,17.87,18.38,20.75,20.75,20.75,20.75,20.75,20.75,20.75,BUY
B07SHBQY7Z,21.75,22.5,23.24,23.99,24.73,25.48,26.22,26.97,30.45,30.45,30.45,30.45,30.45,30.45,30.45,BUY
B07SHFPD8S,26.98,27.91,28.83,29.76,30.68,31.61,32.53,33.46,37.77,37.77,37.77,37.77,37.77,37.77,37.77,BUY
B07T72QG3K,38.99,38.21,38.60,37.04,35.87,36.26,34.70,33.14,33.53,31.97,30.41,30.80,29.63,28.85,29.24,WAIT
B07TCKLJ5N,19.95,20.63,21.32,22.0,22.69,23.37,24.05,24.74,27.93,27.93,27.93,27.93,27.93,27.93,27.93,BUY
B07TZJ1CMC,15.96,16.27,16.57,16.88,17.18,17.49,17.8,18.1,19.53,19.53,19.53,19.53,19.53,19.53,19.53,BUY
B07WCNYGM1,39.99,41.36,42.73,44.1,45.47,46.85,48.22,49.59,55.99,55.99,55.99,55.99,55.99,55.99,55.99,BUY
B07Y9FPW21,129.99,134.45,138.9,143.36,147.82,152.27,156.73,161.19,181.99,181.99,181.99,181.99,181.99,181.99,181.99,BUY
B07YP9FBMM,199.0,201.15,203.29,205.44,207.59,209.74,211.88,214.03,224.05,224.05,224.05,224.05,224.05,224.05,224.05,BUY
B07YVMJFB9,77.9,79.71,81.51,83.32,85.12,86.93,88.73,90.54,83.09,87.42,91.75,96.07,100.4,104.73,109.06,BUY
B07Z5DZM31,17.3,17.89,18.49,19.08,19.67,20.27,20.86,21.45,24.22,24.22,24.22,24.22,24.22,24.22,24.22,BUY
B07Z7YMQYT,29.99,31.02,32.05,33.07,34.1,35.13,36.16,37.19,41.99,41.99,41.99,41.99,41.99,41.99,41.99,BUY
B07ZYR8F2W,24.99,24.49,24.74,23.74,22.99,23.24,22.24,21.24,21.49,20.49,19.49,19.74,18.99,18.49,18.74,WAIT
B0811Q28N6,140.52,137.71,139.11,133.49,129.28,130.68,125.06,119.44,120.85,115.23,109.61,111.01,106.79,103.98,105.39,WAIT
B081CHLF46,28.88,29.87,30.86,31.85,32.84,33.83,34.82,35.81,40.43,40.43,40.43,40.43,40.43,40.43,40.43,BUY
B081HH5X61,6.99,7.23,7.47,7.71,7.95,8.19,8.43,8.67,9.79,9.79,9.79,9.79,9.79,9.79,9.79,BUY
B081QPF19F,19.99,19.59,19.79,18.99,18.39,18.59,17.79,16.99,17.19,16.39,15.59,15.79,15.19,14.79,14.99,WAIT
B0828BJGD2,258.0,252.84,255.42,245.10,237.36,239.94,229.62,219.30,221.88,211.56,201.24,203.82,196.08,190.92,193.50,WAIT
B082FJXVW6,7.99,8.26,8.54,8.81,9.09,9.36,9.63,9.91,11.19,11.19,11.19,11.19,11.19,11.19,11.19,BUY
B082KJCR7N,449.0,440.02,444.51,426.55,413.08,417.57,399.61,381.65,386.14,368.18,350.22,354.71,341.24,332.26,336.75,WAIT
B082WG5VTK,7.99,8.26,8.54,8.81,9.09,9.36,9.63,9.91,11.19,11.19,11.19,11.19,11.19,11.19,11.19,BUY
B083BT3VXZ,20.99,20.57,20.78,19.94,19.31,19.52,18.68,17.84,18.05,17.21,16.37,16.58,15.95,15.53,15.74,WAIT
B083JKSSR5,24.99,25.57,26.15,26.72,27.3,27.88,28.46,29.04,34.29,33.59,32.9,32.2,31.5,30.8,30.11,BUY
B083M8DP6X,382.67,375.02,378.84,363.54,352.06,355.88,340.58,325.27,329.10,313.79,298.48,302.31,290.83,283.18,287.00,WAIT
B0846VRJV8,161.49,158.26,159.88,153.42,148.57,150.19,143.73,137.27,138.88,132.42,125.96,127.58,122.73,119.50,121.12,WAIT
B084S7BP3Z,92.77,90.91,91.84,88.13,85.35,86.28,82.57,78.85,79.78,76.07,72.36,73.29,70.51,68.65,69.58,WAIT
B084SDXVBD,15.99,15.67,15.34,15.02,14.69,14.37,14.05,13.72,12.21,12.21,12.21,12.21,12.21,12.21,12.21,WAIT
B084TDB4HK,36.99,38.01,39.03,40.04,41.06,42.08,43.1,44.12,44.28,45.53,46.78,48.03,49.28,50.53,51.79,BUY
B0863FR3S9,348.0,341.04,344.52,330.60,320.16,323.64,309.72,295.80,299.28,285.36,271.44,274.92,264.48,257.52,261.00,WAIT
B086WTSMQH,197.59,193.64,195.61,187.71,181.78,183.76,175.86,167.95,169.93,162.02,154.12,156.10,150.17,146.22,148.19,WAIT
B087KG4C1H,6.29,6.51,6.72,6.94,7.15,7.37,7.58,7.8,8.81,8.81,8.81,8.81,8.81,8.81,8.81,BUY
B088D8JG3L,119.07,116.69,117.88,113.12,109.54,110.74,105.97,101.21,102.40,97.64,92.87,94.07,90.49,88.11,89.30,WAIT
B088F7SY6S,139.99,142.39,144.8,147.2,149.6,152.01,154.41,156.81,168.03,168.03,168.03,168.03,168.03,168.03,168.03,BUY
B088KRPCQJ,279.0,273.42,276.21,265.05,256.68,259.47,248.31,237.15,239.94,228.78,217.62,220.41,212.04,206.46,209.25,WAIT
B088Z22VYF,13.49,13.95,14.42,14.88,15.34,15.8,16.27,16.73,18.89,18.89,18.89,18.89,18.89,18.89,18.89,BUY
B08B6FMPTP,99.95,97.95,98.95,94.95,91.95,92.95,88.96,84.96,85.96,81.96,77.96,78.96,75.96,73.96,74.96,WAIT
B08D1VF18M,42.79,42.31,41.82,41.34,40.85,40.37,39.88,39.4,37.13,37.13,37.13,37.13,37.13,37.13,37.13,WAIT
B08D6R7GQ7,14.51,15.01,15.5,16.0,16.5,17.0,17.49,17.99,20.31,20.31,20.31,20.31,20.31,20.31,20.31,BUY
B08G84P8ZX,8.99,9.3,9.61,9.91,10.22,10.53,10.84,11.15,12.59,12.59,12.59,12.59,12.59,12.59,12.59,BUY
B08GNHJB6X,29.99,30.59,31.19,31.78,32.38,32.98,33.58,34.17,32.77,33.91,35.06,36.2,37.35,38.49,39.64,BUY
B08HMWZBXC,55.99,57.91,59.83,61.75,63.67,65.59,67.51,69.43,78.39,78.39,78.39,78.39,78.39,78.39,78.39,BUY
B08J7QWJ91,49.99,51.7,53.42,55.13,56.85,58.56,60.27,61.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,BUY
B08KDZ2NZX,32.49,32.3,32.11,31.93,31.74,31.55,31.36,31.17,30.3,30.3,30.3,30.3,30.3,30.3,30.3,BUY
B08L6ZYW21,40.41,41.14,41.87,42.6,43.33,44.06,44.79,45.52,54.94,53.3,51.66,50.02,48.39,46.75,45.11,BUY
B08LCPKS6G,224.99,220.49,222.74,213.74,206.99,209.24,200.24,191.24,193.49,184.49,175.49,177.74,170.99,166.49,168.74,WAIT
B08LF1F981,495.99,486.07,491.03,471.19,456.31,461.27,441.43,421.59,426.55,406.71,386.87,391.83,376.95,367.03,371.99,WAIT
B08N67H3CK,9.99,10.33,10.68,11.02,11.36,11.7,12.05,12.39,13.99,13.99,13.99,13.99,13.99,13.99,13.99,BUY
B08NLCW9WY,259.95,254.75,257.35,246.95,239.15,241.75,231.36,220.96,223.56,213.16,202.76,205.36,197.56,192.36,194.96,WAIT
B08NP57YRG,33.87,34.93,35.99,37.05,38.12,39.18,40.24,41.3,44.43,44.93,45.42,45.92,46.42,46.92,47.42,BUY
B08PJ4KQ1G,64.95,63.65,64.30,61.70,59.75,60.40,57.81,55.21,55.86,53.26,50.66,51.31,49.36,48.06,48.71,WAIT
B08PZDSP2Z,519.95,509.55,514.75,493.95,478.35,483.55,462.76,441.96,447.16,426.36,405.56,410.76,395.16,384.76,389.96,WAIT
B08QMG7Z4R,14.18,14.67,15.15,15.64,16.12,16.61,17.1,17.58,19.85,19.85,19.85,19.85,19.85,19.85,19.85,BUY
B08VM9JN7H,159.97,156.77,158.37,151.97,147.17,148.77,142.37,135.97,137.57,131.18,124.78,126.38,121.58,118.38,119.98,WAIT
B08W5BN4FK,29.99,31.02,32.05,33.07,34.1,35.13,36.16,37.19,41.99,41.99,41.99,41.99,41.99,41.99,41.99,BUY
B08WJ26WP6,77.97,76.41,77.19,74.07,71.73,72.51,69.39,66.27,67.05,63.94,60.82,61.60,59.26,57.70,58.48,WAIT
B08WM3LMJF,49.95,48.95,49.45,47.45,45.95,46.45,44.46,42.46,42.96,40.96,38.96,39.46,37.96,36.96,37.46,WAIT
B08YDW8HKX,20.0,20.66,21.31,21.97,22.63,23.29,23.94,24.6,27.93,27.86,27.79,27.72,27.65,27.58,27.5,BUY
B0916TKFF2,29.99,29.99,29.99,29.98,29.98,29.98,29.98,29.98,29.97,29.97,29.97,29.97,29.97,29.97,29.97,BUY
B091BD6KJR,8.99,9.3,9.61,9.91,10.22,10.53,10.84,11.15,12.59,12.59,12.59,12.59,12.59,12.59,12.59,BUY
B092J8LPWR,14.01,14.49,14.97,15.45,15.93,16.41,16.89,17.37,19.61,19.61,19.61,19.61,19.61,19.61,19.61,BUY
B092RCLKHN,169.0,165.62,167.31,160.55,155.48,157.17,150.41,143.65,145.34,138.58,131.82,133.51,128.44,125.06,126.75,WAIT
B09478CKG2,27.97,28.71,29.46,30.2,30.94,31.69,32.43,33.18,32.7,33.78,34.85,35.93,37.01,38.08,39.16,BUY
B096SRYXMP,149.95,146.95,148.45,142.45,137.95,139.45,133.46,127.46,128.96,122.96,116.96,118.46,113.96,110.96,112.46,WAIT
B09B27J11J,15.29,15.48,15.68,15.87,16.07,16.26,16.46,16.65,17.56,17.56,17.56,17.56,17.56,17.56,17.56,BUY
B09BF64J55,24.59,24.37,24.16,23.94,23.72,23.51,23.29,23.07,21.42,21.6,21.77,21.95,22.12,22.29,22.47,BUY
B09BKCDXZC,35.98,37.21,38.45,39.68,40.91,42.15,43.38,44.62,50.37,50.37,50.37,50.37,50.37,50.37,50.37,BUY
